id,cohort,job_title,company,city,source,source_url,page_date,date_type,status,education,responsibilities,required_skills,preferred_skills,evidence_note
J01,core,大模型应用研发工程师实习生 J100972,百度,上海,实习僧,https://www.shixiseng.com/intern/inn_o7dhg2wwsans,2026-07-23,刷新日期,招聘中,本科及以上,"研发大模型应用系统；集成 RAG 与 Agent；优化调用链路、响应速度和稳定性；参与数据工程","Python;RAG;Agent;Prompt Engineering;数据处理;大模型评测","LangChain;Docker;Kubernetes;CI/CD","页面明确写有 Python、RAG、Agent、Prompt、Docker/Kubernetes 与 AI Testing"
J02,core,AI Agent算法实习生（企业智能）,小红书,北京,实习僧,https://www.shixiseng.com/intern/inn_8s2zkxqufl9u,2026-07-15,刷新日期,招聘中,本科及以上,"建设任务拆解、工具调用、上下文、记忆、多 Agent 与评测能力；落地企业知识协同和工作流","Python;Agent;RAG;Prompt Engineering;Function Calling;大模型评测;数据处理","Embedding;重排序;Multi-Agent;数据库;开源项目","岗位虽含“算法”，职责集中在应用算法与工程落地，纳入核心组"
J03,core,AI大模型开发实习生,FOSHO,深圳,实习僧,https://www.shixiseng.com/intern/inn_1wtj31m7famb,2026-07-22,刷新日期,招聘中,本科及以上,"开发 AI 应用后端 API、模型部署和数据流程；支持 Agent、RAG、前端集成与上线","Python;FastAPI;Flask;Agent;RAG;LangGraph;数据处理;日志与可观测性","前端或演示页面;PyTorch;Docker","页面将 FastAPI/Flask/Django 列为后端能力，并明确 LangGraph"
J04,core,AI Engineer Intern（AI Agent Development & Database）,欧摩威中国,上海,实习僧,https://www.shixiseng.com/intern/inn_bk0jwfkyznmc,2026-07-10,刷新日期,招聘中,本科及以上,"开发 Agent 与 LLM 集成；Linux 部署和脚本；CI；Python API、数据库、ETL 和简单前端","Python;FastAPI;Flask;Agent;Prompt Engineering;数据库;Linux;Git;CI/CD;数据处理","MCP;Function Calling;RAG;Docker;自动化测试;前端或演示页面","职位强调能说明个人项目责任和贡献，和本项目目标高度一致"
J05,core,AI Agent、全栈开发实习生,华曼研究院,北京,实习僧,https://www.shixiseng.com/intern/inn_xlfjcycfffuy,2026-07-10,刷新日期,已下线,不限,"独立完成 Agent MVP 的数据库、API、前端、部署；实现信息聚合 pipeline 与 Agent 接口","Agent;数据库;前端或演示页面;数据处理;日志与可观测性","Python;Git;OpenAI API;WebSocket","无 RAG 明示，因此不计 RAG；保留作全栈演示能力证据"
J06,core,Agentic AI 应用实习生,博世中国,上海,实习僧,https://www.shixiseng.com/intern/inn_invni1zutu5b,2026-07-01,刷新日期,招聘中,本科及以上,"开发内部 AI 工具和自动化流水线；构建可交互 Demo；评估模型性能、成本与业务适配","Python;Agent;Prompt Engineering;前端或演示页面;大模型评测","LangChain;LlamaIndex;Java;数据处理","明确要求可落地 Demo 和性能/成本实验"
J07,core,AI Agent算法实习生（风控方向）,携程集团,上海,实习僧,https://www.shixiseng.com/intern/inn_oveszt5vsfer,2026-07-08,刷新日期,招聘中,本科及以上,"将风控 SOP 转成 Prompt、RAG 和工具链；实现记忆、决策、HITL、安全兜底与 badcase 优化","Python;Agent;RAG;Prompt Engineering;Function Calling;LangChain;LlamaIndex;大模型评测;日志与可观测性","Multi-Agent;数据处理;数据库","页面明确要求可展示的 Agent/LLM 作品或 Demo"
J08,core,AI Agent研发实习生,美图公司,厦门,实习僧,https://www.shixiseng.com/intern/inn_eq4f9ghfj7oo,2026-07-20,刷新日期,已下线,本科及以上,"实现长短时记忆、状态机、外部知识检索、前后端接口、自动评测、监控和全链路观测","Agent;RAG;Prompt Engineering;Function Calling;LangGraph;大模型评测;日志与可观测性;前端或演示页面","Git;开源贡献;PyTorch","生产级 Agent 工程、评测与观测要求完整"
J09,core,AI Agent系统开发实习生（CV与3D AIGC方向）,索尼中国研究院,北京,实习僧,https://www.shixiseng.com/intern/inn_t0s8acqjedkc,2026-06-05,刷新日期,招聘中,本科及以上,"开发多阶段 Agent 工作流、多模态工具链、异常处理与系统调优","Python;Agent;Function Calling;数据处理;日志与可观测性","前端或演示页面;多模态;开源项目阅读","未明确 RAG、MCP 或具体 Agent 框架，不做推断"
J10,core,AI Agent研发与效能优化实习生,百度,上海,实习僧,https://www.shixiseng.com/intern/inn_jy1rojat7asl,2026-07-14,刷新日期,已下线,本科及以上,"开发测试智能体、反馈聚类和数字化效能工具；自动生成报告和需求卡片","Python;Agent;Function Calling;Git;数据处理;大模型评测","LangChain;LlamaIndex;前端或演示页面","页面明确 Python 必选、REST/JSON、Git 及至少一种应用框架"
